N°,client,consultation_id,intitule_projet,lien,Selection
,Institut Hédi Raies d’Ophtalmologie,S20250504425,مشتريات المعهد لمدة سنة واحدة )عام ٢٠٢٥/٢٠٢٦( من مواد الصيانة وأكياس القمامة,https://www.tuneps.tn/portail/consultations/consultationdetails/231672/S20250504425,0
,Commune de Sfax,S20250504408,بعثة مراقبة ورصد وتقديم المساعدة التقنية في صيانة الطرق بسعة 3 لترات,https://www.tuneps.tn/portail/consultations/consultationdetails/231654/S20250504408,0
,مجمع الصحة الأساسية بزغوان,S20250505010,قاذفات قاذفات قاذفات قاذفات طبية خاصة,https://www.tuneps.tn/portail/consultations/consultationdetails/232427/S20250505010,0
,Commune de Soliman,S20250505042,Des travaux complémentaires d &apos; hygiène et d &apos; entretien dans les zones vertes pour la municipalité de Suleiman.,https://www.tuneps.tn/portail/consultations/consultationdetails/232465/S20250505042,0
,Office des Céréales,20250501290,لاقتناء مبيدات الآفات,https://www.tuneps.tn/portail/offres/details/88067/20250501290,0
,Commune Rafraf,S20250505106,Remise en état d &apos; un moteur de camion de type Duff,https://www.tuneps.tn/portail/consultations/consultationdetails/232545/S20250505106,0
,Groupement de santé de base Sousse,20250501294,Acquisition des papiers,https://www.tuneps.tn/portail/offres/details/88085/20250501294,0
,Université de sousse,20250612877,"اقتناء تجهيزات سمعية بصرية ومعدات نسخ
لفائدة المؤسسات التابعة لجامعة سوسة",https://www.tuneps.tn/portail/offres/details/94249/20250612877,0
,Conseil Régional De Bizerte,S20250505090,استشارة عدد 03 لاختيار مكتب المراقبة الفنیة لمشروع صيانة محطة النقل البري بجرزونة ببنزرت,https://www.tuneps.tn/portail/consultations/consultationdetails/232523/S20250505090,0
,Agence Tunis Afrique Presse,S20250504385,ACQUISITION D'UN SCANNER A PLAT,https://www.tuneps.tn/portail/consultations/consultationdetails/231625/S20250504385,0
,Gouvernorat de Gafsa,20250501291,"ECLAIRAGE DU NOUVEAU STADE MUNICIPAL
A EL-KSAR - GAFSA",https://www.tuneps.tn/portail/offres/details/88066/20250501291,0
,Prison de kasserine,S20250505098,إقتناء مواد بناء و مواد صحية,https://www.tuneps.tn/portail/consultations/consultationdetails/232534/S20250505098,0
,Hôpital La Rabta de Tunis,S20250604723,achat  des fils et sutures,https://www.tuneps.tn/portail/consultations/consultationdetails/239491/S20250604723,0
,Office de Logements des cadres Actifs du Ministère de l’Intérieur,S20250604841,réalisation d’une installation photovoltaïque au siège de l’OLCAMI,https://www.tuneps.tn/portail/consultations/consultationdetails/239611/S20250604841,0
,"Ministère de l’Equipement, l’habitat et l’aménagement du territoire",S20250604849,Repartion des radiateurs pour niveleuse new holland niv 933 et dingshing niv 1118,https://www.tuneps.tn/portail/consultations/consultationdetails/239621/S20250604849,0
,Le conseil régional de gouvernorat de Ariana,20250612737,ACHEVEMENT DES TRAVAUX D’ASSAINISSEMENT DANS QUELQUES RUES DANS LES DELEGATIONS DE MNIHLA ET SIDI THABET DANS LE GOUVERNORAT DE L’ARIANA	 2EME FOIS,https://www.tuneps.tn/portail/offres/details/94146/20250612737,0
,Groupement de santé de base Sousse,20250501294,التحقق من الوثائق,https://www.tuneps.tn/portail/offres/details/88085/20250501294,0
,Université de sousse,20250612877,Achat de matériel audiovisuel et de photocopie pour les établissements de l &apos; Université de Sousa,https://www.tuneps.tn/portail/offres/details/94249/20250612877,0
,Conseil Régional De Bizerte,S20250505090,Consultation du bureau de contrôle technique (03) pour le projet d &apos; entretien de la station de transport terrestre de Garzuna à Benzert,https://www.tuneps.tn/portail/consultations/consultationdetails/232523/S20250505090,0
,Agence Tunis Afrique Presse,S20250504385,"""احتفـاء مستنـفـر بـلاطـة""",https://www.tuneps.tn/portail/consultations/consultationdetails/231625/S20250504385,0
,Gouvernorat de Gafsa,20250501291,قاذف الساتل الجديد MONICAL AL-KSAR-GAFSA,https://www.tuneps.tn/portail/offres/details/88066/20250501291,0
,Prison de kasserine,S20250505098,Achat de matériaux de construction et d &apos; articles de santé,https://www.tuneps.tn/portail/consultations/consultationdetails/232534/S20250505098,0
,Hôpital La Rabta de Tunis,S20250604723,شراء خياطة وخياطة الأسلاك والأغطية,https://www.tuneps.tn/portail/consultations/consultationdetails/239491/S20250604723,0
,Office de Logements des cadres Actifs du Ministère de l’Intérieur,S20250604841,في مقر أولكومامي,https://www.tuneps.tn/portail/consultations/consultationdetails/239611/S20250604841,0
,"Ministère de l’Equipement, l’habitat et l’aménagement du territoire",S20250604849,إعادة تشغيل مضخات نيو هوللاند الجديدة 933 929 ودينغشينغ 918 1118,https://www.tuneps.tn/portail/consultations/consultationdetails/239621/S20250604849,0
,Le conseil régional de gouvernorat de Ariana,20250612737,استكمال العمل الصحي في مناطق مختارة من انقسامات مينهيلا وسيدي ثابيت في منطقة جنوب بحر الآرينانا - ٢,https://www.tuneps.tn/portail/offres/details/94146/20250612737,0
,Ecole Supérieure des Sciences Economiques et Commerciales de Tunis,S20250604884,"Mise en place d’une plateforme Intégrée pour la digitalisation des  services aux profils des étudiants, enseignant, administration et milieu sociaux économique de L’Ecole Supérieure des Sciences Economiques et Commerciales",https://www.tuneps.tn/portail/consultations/consultationdetails/239664/S20250604884,1
,Hôpital Militaire Principal d’Instruction de Tunis,S20250604850,ACQUISITION ACCESSOIRE MEDICAL,https://www.tuneps.tn/portail/consultations/consultationdetails/239622/S20250604850,0
,Prison civile Mornaguia,S20250505079,Réparation deux marmites 250L. Fourniture et remplacement,https://www.tuneps.tn/portail/consultations/consultationdetails/232509/S20250505079,0
,Société Nationale de Distribution de Pétrole,S20250505018,TRAVAUX D’ENTRETIEN ET REMPLACEMENT DE LA COUVERTURE ET CHENEAU DE LA MARQUISE EN CHARPENTE METALLIQUE A LA STATION SERVICE AGIL HAMMEM ZRIBA,https://www.tuneps.tn/portail/consultations/consultationdetails/232436/S20250505018,0
,Institut Mohamed Kassab d’Orthopédie à Ksar Saïd,S20250505044,L’ACQUISITION DES FOURNITURES POUR JOURNEE DE L’INFIRMIER,https://www.tuneps.tn/portail/consultations/consultationdetails/232467/S20250505044,0
,Ministère de la Défense Nationale,S20250604722,Travaux d'extension d'un restaurant à la caserne de KASSERINE,https://www.tuneps.tn/portail/consultations/consultationdetails/239490/S20250604722,0
,Prison civile Mornaguia,S20250505075,Sonde calibrage urétral,https://www.tuneps.tn/portail/consultations/consultationdetails/232504/S20250505075,0
,Commune de Tataouine,20250501296,AQUISITION DE CAMION A BENNE TASSEUSE DE 16-17 M3 A PLAQUE EQUIPEE DE LEVE CONTENEURS UNIVERSEL Avis 3,https://www.tuneps.tn/portail/offres/details/88072/20250501296,0
,Centre de Traumatologie et des Grands Brûles,S20250504395,Acquisition des filtres bactériologiques,https://www.tuneps.tn/portail/consultations/consultationdetails/231677/S20250504395,0
,Groupement de santé de base sfax,S20250504386,toner pour photocopieur,https://www.tuneps.tn/portail/consultations/consultationdetails/231626/S20250504386,0
,المستشفى العسكري بقابس,S20250604834,لوازم طبية,https://www.tuneps.tn/portail/consultations/consultationdetails/239605/S20250604834,0
,Ecole Supérieure des Sciences Economiques et Commerciales de Tunis,S20250604884,إنشاء منبر متكامل لتبسيط الخدمات المقدمة في ملفات الطلاب والمعلمين والإدارة والوسط الاجتماعي - الاقتصادي في المدرسة العليا للعلوم الاقتصادية والاقتصادية والتجارية,https://www.tuneps.tn/portail/consultations/consultationdetails/239664/S20250604884,1
,Hôpital Militaire Principal d’Instruction de Tunis,S20250604850,"""القدم الطبي الطبي """,https://www.tuneps.tn/portail/consultations/consultationdetails/239622/S20250604850,0
,Prison civile Mornaguia,S20250505079,٢٥٠ لام ٢- العلاج والاستبدال,https://www.tuneps.tn/portail/consultations/consultationdetails/232509/S20250505079,0
,Société Nationale de Distribution de Pétrole,S20250505018,الأعمال الأولية واستبدال صبغة وشبـر صالـون الصحلـب المطـلي إلـى الصنـدوق الخدمـي الخدمـي الخـادم الـذي يصـل إلـى,https://www.tuneps.tn/portail/consultations/consultationdetails/232436/S20250505018,0
,Institut Mohamed Kassab d’Orthopédie à Ksar Saïd,S20250505044,في اليوم اليومي للمغسلة,https://www.tuneps.tn/portail/consultations/consultationdetails/232467/S20250505044,0
,Ministère de la Défense Nationale,S20250604722,أعمال توسيع مطعم في ثكنة الكسيرين,https://www.tuneps.tn/portail/consultations/consultationdetails/239490/S20250604722,0
,Prison civile Mornaguia,S20250505075,2 - مسبار مرجعي ترسّب ترسّبي,https://www.tuneps.tn/portail/consultations/consultationdetails/232504/S20250505075,0
,Commune de Tataouine,20250501296,مركبة من طراز ١٦-١٧ م٣ م٣ ٤,https://www.tuneps.tn/portail/offres/details/88072/20250501296,0
,Centre de Traumatologie et des Grands Brûles,S20250504395,الحصول على مرشحات المواد البيولوجية,https://www.tuneps.tn/portail/consultations/consultationdetails/231677/S20250504395,0
,Groupement de santé de base sfax,S20250504386,آلة لتصوير النسخ التصويري,https://www.tuneps.tn/portail/consultations/consultationdetails/231626/S20250504386,0
,المستشفى العسكري بقابس,S20250604834,Fournitures médicales,https://www.tuneps.tn/portail/consultations/consultationdetails/239605/S20250604834,0
,Cité des Sciences à Tunis,20250501179,Rénovation du planétarium de la Cité des Sciences à Tunis,https://www.tuneps.tn/portail/offres/details/87843/20250501179,0
,Groupement de Santé de Base de Ben Arous,S20250505052,Destruction produit chimique,https://www.tuneps.tn/portail/consultations/consultationdetails/232475/S20250505052,0
,Prison Borjerroumi,S20250604887,Consultation N°111 إقتناء ONDULEUR,https://www.tuneps.tn/portail/consultations/consultationdetails/239668/S20250604887,0
,Commissariat Régional au Développement Agricole de Nabeul,S20250505088,Acquisition Equipements de Laboratoires,https://www.tuneps.tn/portail/consultations/consultationdetails/232521/S20250505088,0
,Institut Salah Azaïez,S20250504393,Acquisition urgente  de divers dispositifs medicaux,https://www.tuneps.tn/portail/consultations/consultationdetails/231633/S20250504393,0
,Conseil régional du gouvernorat du Kef,S20250604800,اشغال تكملة وتهيئة وتوسعة روضة بلدية السرس,https://www.tuneps.tn/portail/consultations/consultationdetails/239648/S20250604800,0
,Gouvernorat de Jendouba,20250612885,تهيئة طرقات وشبكات مختلفة قسط عدد02 وقسط عدد03,https://www.tuneps.tn/portail/offres/details/94259/20250612885,0
,Hôpital chebba,S20250504431,صيانة و تهيئة العيادات الخارجية بالمستشفى,https://www.tuneps.tn/portail/consultations/consultationdetails/231679/S20250504431,0
,Hôpital Charles Nicolle de Tunis,S20250604864,ACQUISTION D'UN PISTOLET DE MASSAGE SERVICE RHUMATOLOGIE,https://www.tuneps.tn/portail/consultations/consultationdetails/239640/S20250604864,0
,Hôpital Sahloul de Sousse,S20250505100,Achat des dispositifs pour RADIO,https://www.tuneps.tn/portail/consultations/consultationdetails/232542/S20250505100,0
,Cité des Sciences à Tunis,20250501179,تجديد القبة الفلكية لمدينة العلوم بتونس,https://www.tuneps.tn/portail/offres/details/87843/20250501179,0
,Groupement de Santé de Base de Ben Arous,S20250505052,التدمير الكيميائي,https://www.tuneps.tn/portail/consultations/consultationdetails/232475/S20250505052,0
,Prison Borjerroumi,S20250604887,المشاورة رقم 111,https://www.tuneps.tn/portail/consultations/consultationdetails/239668/S20250604887,0
,Commissariat Régional au Développement Agricole de Nabeul,S20250505088,معدات تجهيز معدات المختبرات,https://www.tuneps.tn/portail/consultations/consultationdetails/232521/S20250505088,0
,Institut Salah Azaïez,S20250504393,الاقتناء العاجل لمختلف الأجهزة الطبية,https://www.tuneps.tn/portail/consultations/consultationdetails/231633/S20250504393,0
,Conseil régional du gouvernorat du Kef,S20250604800,"Mise à jour, aménagement et expansion de la cour municipale d'Al-Saras.",https://www.tuneps.tn/portail/consultations/consultationdetails/239648/S20250604800,0
,Gouvernorat de Jendouba,20250612885,Mise en place de routes et de réseaux différents,https://www.tuneps.tn/portail/offres/details/94259/20250612885,0
,Hôpital chebba,S20250504431,Entretien et aménagement des dispensaires extérieurs de l &apos; hôpital,https://www.tuneps.tn/portail/consultations/consultationdetails/231679/S20250504431,0
,Hôpital Charles Nicolle de Tunis,S20250604864,أولاً - حيازة حامل حامل قاذفة قاذفة طراز RHOMOGLOGE,https://www.tuneps.tn/portail/consultations/consultationdetails/239640/S20250604864,0
,Hôpital Sahloul de Sousse,S20250505100,شراء معدات للرادويوم,https://www.tuneps.tn/portail/consultations/consultationdetails/232542/S20250505100,0
,Gouvernorat de Gafsa,20250501284,"أشغال التنوير العمومي بالعقيلة (المنطقة الصناعية) 
وسيدي احمد زروق ببلدية قفصة",https://www.tuneps.tn/portail/offres/details/88060/20250501284,0
,Mairie de Tunis,S20250505070,Achat de fournitures de matériel administratif,https://www.tuneps.tn/portail/consultations/consultationdetails/232497/S20250505070,0
,Centre de Calcul El-Khawarizmi,S20250505093,Aquisition piéces et accessoires pour l'entretien des équipements de climatisation centrale,https://www.tuneps.tn/portail/consultations/consultationdetails/232526/S20250505093,0
,Gouvernorat de Kairouan,S20250604851,أشغال  الدهن و تهيئة الفضاء الخارجي  لإقليم و  المقر الإداري لفوج التدخل الحرس الوطني بالقيروان,https://www.tuneps.tn/portail/consultations/consultationdetails/239623/S20250604851,0
,Agence Nationale de la Protection de l’Environnement,S20250604846,Acquisition et installation des climatiseurs split système en trois (03) lots,https://www.tuneps.tn/portail/consultations/consultationdetails/239618/S20250604846,0
,Commissariat régional de l’éducation de Tunis2,S20250604903,استشارة المراقبة الفنية للمدارس الاعدادية,https://www.tuneps.tn/portail/consultations/consultationdetails/239687/S20250604903,0
,Conseil régional du gouvernorat du Kef,S20250504381,إقتناء و تركيز منظومة بث صوتي للإجتماعات بقاعة الجلسات الكبرى بإدارة ولاية الكاف,https://www.tuneps.tn/portail/consultations/consultationdetails/231612/S20250504381,0
,Agence Technique des Transports Terrestres,20250501288,travaux GR Beja,https://www.tuneps.tn/portail/offres/details/88063/20250501288,0
,Commune de Teboulba,S20250504427,Acquisition des outils de plomberie,https://www.tuneps.tn/portail/consultations/consultationdetails/231674/S20250504427,0
,Commissariat Régional au Développement Agricole de Béja,20250612880,إقتناء ونقل بطاريات وعجلات مطاطية وإطارات هوائية لفائدة المندوبية الجهوية للتنمية الفلاحية بباجة,https://www.tuneps.tn/portail/offres/details/94253/20250612880,0
,Gouvernorat de Gafsa,20250501284,Travaux d &apos; éclairage public à Al-Aqila (zone industrielle) et Sidi Ahmad Zarouk (municipalité de Kaqsa),https://www.tuneps.tn/portail/offres/details/88060/20250501284,0
,Mairie de Tunis,S20250505070,شراء لوازم المعدات الإدارية,https://www.tuneps.tn/portail/consultations/consultationdetails/232497/S20250505070,0
,Centre de Calcul El-Khawarizmi,S20250505093,3 - معدات لحيازـة البريـد والملحقات اللازمة لصيانة وحدات تكييف تكييف تكييف الهواء المركزي,https://www.tuneps.tn/portail/consultations/consultationdetails/232526/S20250505093,0
,Gouvernorat de Kairouan,S20250604851,Les travaux de peinture et la préparation de l'espace extra-atmosphérique pour le territoire et le siège administratif du régiment d'intervention de la Garde nationale de Kairouan.,https://www.tuneps.tn/portail/consultations/consultationdetails/239623/S20250604851,0
,Agence Nationale de la Protection de l’Environnement,S20250604846,اقتناء وتركيب معدات تكييف مكيفات هوائيت نظامي ثلاثي (03) لترات,https://www.tuneps.tn/portail/consultations/consultationdetails/239618/S20250604846,0
,Commissariat régional de l’éducation de Tunis2,S20250604903,Consultation sur l &apos; observation technique des établissements d &apos; enseignement secondaire supérieur,https://www.tuneps.tn/portail/consultations/consultationdetails/239687/S20250604903,0
,Conseil régional du gouvernorat du Kef,S20250504381,L'acquisition et la concentration d'un système de diffusion vocale pour les réunions dans la grande salle d'audience de l'état de Kev.,https://www.tuneps.tn/portail/consultations/consultationdetails/231612/S20250504381,0
,Agence Technique des Transports Terrestres,20250501288,حجم العمل في بيجا,https://www.tuneps.tn/portail/offres/details/88063/20250501288,0
,Commune de Teboulba,S20250504427,اقتناء أدوات بدء التشغيل,https://www.tuneps.tn/portail/consultations/consultationdetails/231674/S20250504427,0
,Commissariat Régional au Développement Agricole de Béja,20250612880,"Achat et transport de batteries, de pneus en caoutchouc et de pneus d &apos; air pour la délégation régionale pour le développement de l &apos; agriculture à Pugha",https://www.tuneps.tn/portail/offres/details/94253/20250612880,0
,HHABIBTHAMEUR - Hôpital Habib Thameur,S20250202867,ACQUISITION APPAREIL DE CONTRÔLE D'ACCES PAR EMPREINTE DIGITALE,http://www.tunisurf.com/v3/?mod=6013&aoid=495363&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
,Centre National de Formation Continue et de Promotion Professionnelle,S20250604838,"Acquisition des pièces de Rechanges des Voitures Administrative Type TOYOTA AGYA, C3 et POLO",https://www.tuneps.tn/portail/consultations/consultationdetails/239608/S20250604838,0
,Prison harbou Mednine,S20250601821,consultation d'entretien général des équipements chaux froid /climatisation N 18/25,https://www.tuneps.tn/portail/consultations/consultationdetails/239682/S20250601821,0
,Hôpital Habib Thameur de Tunis,S20250604863,gants pour agent d'autoclave,https://www.tuneps.tn/portail/consultations/consultationdetails/239639/S20250604863,0
,ONM - Office National des Mines,S20250202681,achat d'un écran d'affichage vertical,http://www.tunisurf.com/v3/?mod=6013&aoid=495038&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Commune de Teboulba,S20250604794,Achat de fournitures photographiques,https://www.tuneps.tn/portail/consultations/consultationdetails/239563/S20250604794,0
,ONFP - Office National de la Famille et de la  Population,S20250202711,Cons 13-2025_Acquisition des Produits de Nettoyage,http://www.tunisurf.com/v3/?mod=6013&aoid=495151&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Société Nationale de Distribution de Pétrole,S20250505029,TRAVAUX DE RENOVATION DU LIGNE D’ALIMENTATION BACHE A EAU DU SYSTEME          ANTI-INCENDIE AU DEPOT GPL  RADES,https://www.tuneps.tn/portail/consultations/consultationdetails/232449/S20250505029,0
,Hôpital La Rabta de Tunis,S20250604793,travaux de maintenance en génie civil à CHU LA RABTA,https://www.tuneps.tn/portail/consultations/consultationdetails/239562/S20250604793,0
,CITEU KELIBIA - Cité Universitaire Kélibia,S20250202789,Fournitures de sécurité et de prévention au travail,http://www.tunisurf.com/v3/?mod=6013&aoid=495177&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Groupement de santé de base de Tozeur,S20250505019,Fourniture et pose :Monobloc isolant fixe pour  déchets septiques et déchets ordinair Centres des soins de Santé de Base – TOZEUR,https://www.tuneps.tn/portail/consultations/consultationdetails/232438/S20250505019,0
,HHABIBTHAMEUR - Hôpital Habib Thameur,S20250202867,ثالثاً - فرقة العمل المعنية بمراقبة الأحداث بواسطة تدابير جبريـة,http://www.tunisurf.com/v3/?mod=6013&aoid=495363&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
,Centre National de Formation Continue et de Promotion Professionnelle,S20250604838,الحصول على أجزاء من مقتنيات وحدات التشـاريد الإداري من طراز Toueota AGYA وC3 وPOO,https://www.tuneps.tn/portail/consultations/consultationdetails/239608/S20250604838,0
,Prison harbou Mednine,S20250601821,الاجتماع الاستشاري العام لمعدات الجير البارد/التحضير رقم 18/25,https://www.tuneps.tn/portail/consultations/consultationdetails/239682/S20250601821,0
,Hôpital Habib Thameur de Tunis,S20250604863,مواد خاصة بعاملة ككَلَفِ,https://www.tuneps.tn/portail/consultations/consultationdetails/239639/S20250604863,0
,ONM - Office National des Mines,S20250202681,طلب من شاشة عرض رأسي عمودي,http://www.tunisurf.com/v3/?mod=6013&aoid=495038&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Commune de Teboulba,S20250604794,اللوازم الفوتوغرافية,https://www.tuneps.tn/portail/consultations/consultationdetails/239563/S20250604794,0
,ONFP - Office National de la Famille et de la  Population,S20250202711,13-2025 - التخلص من منتجات التنظيف,http://www.tunisurf.com/v3/?mod=6013&aoid=495151&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Société Nationale de Distribution de Pétrole,S20250505029,العمل على تجديد خط الأغذية من الماء في السميّة الأنثيومية-الثانية,https://www.tuneps.tn/portail/consultations/consultationdetails/232449/S20250505029,0
,Hôpital La Rabta de Tunis,S20250604793,في شركة CHU LARABTA,https://www.tuneps.tn/portail/consultations/consultationdetails/239562/S20250604793,0
,CITEU KELIBIA - Cité Universitaire Kélibia,S20250202789,لوازم الأمن والسلامة أثناء العمل,http://www.tunisurf.com/v3/?mod=6013&aoid=495177&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Groupement de santé de base de Tozeur,S20250505019,الإمداد والتوريد: شبكة منعزلة صلبة لنفايات الصرف الصحي ونفايات النفايات الخطرة والتخلص منها,https://www.tuneps.tn/portail/consultations/consultationdetails/232438/S20250505019,0
,CENAFFIF -Centre national de formation de formateurs et dIngénierie de formation,S20250202843,QWNxdWlzaXRpb24gZMKSYWNjZXNzb2lyZXMgaW5mb3JtYXRpcXVlcw==,http://www.tunisurf.com/v3/?mod=6013&aoid=495262&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,السجن المدني ببنزرت,S20250604856,aquisition d'imprimante multifonction,https://www.tuneps.tn/portail/consultations/consultationdetails/239632/S20250604856,0
,Centre Régional Du Control Des Impôts De Nabeul,S20250604870,AMENAGEMENT ET ENTRETIEN DU BUREAU DE CONTROLE GROMBALIA ET SOLIMAN,https://www.tuneps.tn/portail/consultations/consultationdetails/239646/S20250604870,0
,Ministère de la Culture,S20250505040,Maintenance voiture 19-160136 de type Fiat Fiorino et 19-144610 Fiat Punto,https://www.tuneps.tn/portail/consultations/consultationdetails/232464/S20250505040,0
,Commissariat régional des affaires de la femme et de la famille à monastir,S20250604888,التمكين الاقتصادي للاسر ذات الوضيات الخاصة,https://www.tuneps.tn/portail/consultations/consultationdetails/239669/S20250604888,0
,Gouvernorat de Gafsa,20250501295,RECLASSEMENT DE L’HOPITAL DE CIRCONSCRIPTION DE RDEYEF GAFSA,https://www.tuneps.tn/portail/offres/details/88071/20250501295,0
,Hôpital Militaire Principal d’Instruction de Tunis,S20250505095,دراسة قسط الهندسة المدنية والأقساط الخاصة لبناء قسم العلاج بالأشعة,https://www.tuneps.tn/portail/consultations/consultationdetails/232529/S20250505095,0
,Ecole des sous-officiers,S20250604833,réfrigérateur électrique,https://www.tuneps.tn/portail/consultations/consultationdetails/239602/S20250604833,0
,ANCSEP -Agence Nationale de Contrôle Sanitaire et Environnemental des Produits,S20250202766,Q29uY2VwdGlvbiBldCBwcm9kdWN0aW9uIGTCknVuIHNwb3QgcHVibGljaXRhaXJlIGRlIHNlbnNpYmlsaXNhdGlvbiByZWxhdGlmIMOgIGzCknV0aWxpc2F0aW9uIGV0IGxhIGNvbnNvbW1hdGlvbiBkZXMgQ29tcGzDqW1lbnRzIGFsaW1lbnRhaXJlcyBlbiBUdW5pc2ll,http://www.tunisurf.com/v3/?mod=6013&aoid=495215&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,HUHABIB BOURGUIBA SFAX -Hôpital Universitaire Habib Bourguiba Sfax,S20250202901,pc portable (crédit recherche des jeunes chercheurs),http://www.tunisurf.com/v3/?mod=6013&aoid=495448&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,CENAFFIF -Centre national de formation de formateurs et dIngénierie de formation,S20250202843,اقتناء معدات تكنولوجيا المعلومات والاتصالات,http://www.tunisurf.com/v3/?mod=6013&aoid=495262&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,السجن المدني ببنزرت,S20250604856,1 ف-5(أ) 1 ف-3,https://www.tuneps.tn/portail/consultations/consultationdetails/239632/S20250604856,0
,Centre Régional Du Control Des Impôts De Nabeul,S20250604870,تكاليف استئجار وصيانة مكتب شركة GROMBALALIA and Soliman,https://www.tuneps.tn/portail/consultations/consultationdetails/239646/S20250604870,0
,Ministère de la Culture,S20250505040,من طراز Feat Fiorino و 19-144610 من طراز Veat Punto,https://www.tuneps.tn/portail/consultations/consultationdetails/232464/S20250505040,0
,Commissariat régional des affaires de la femme et de la famille à monastir,S20250604888,Émancipation économique des familles ayant des avantages spéciaux,https://www.tuneps.tn/portail/consultations/consultationdetails/239669/S20250604888,0
,Gouvernorat de Gafsa,20250501295,إعادة تأصيـد مستوصف الخيـر الخـدميـة فـي تأصيـل الردييف غافسا,https://www.tuneps.tn/portail/offres/details/88071/20250501295,0
,Hôpital Militaire Principal d’Instruction de Tunis,S20250505095,Étude des primes de génie civil et des primes spéciales pour la construction d &apos; une section de radiothérapie,https://www.tuneps.tn/portail/consultations/consultationdetails/232529/S20250505095,0
,Ecole des sous-officiers,S20250604833,الكهرباء الكهربائية,https://www.tuneps.tn/portail/consultations/consultationdetails/239602/S20250604833,0
,ANCSEP -Agence Nationale de Contrôle Sanitaire et Environnemental des Produits,S20250202766,تصميم وإنتاج برنامج إعلاني للتوعية بشأن استخدام واستهلاك المكملات الغذائية في تونس,http://www.tunisurf.com/v3/?mod=6013&aoid=495215&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,HUHABIB BOURGUIBA SFAX -Hôpital Universitaire Habib Bourguiba Sfax,S20250202901,(البحث عن الباحثين الشباب),http://www.tunisurf.com/v3/?mod=6013&aoid=495448&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Société Régionale de Transport Gouvernorat de Kairouan,20250501305,fourniture de boite a vitesse et moteurs d’origine,https://www.tuneps.tn/portail/offres/details/88087/20250501305,0
,Société Tunisienne de Sidérurgie ELFOULADH,S20250505035,Lot de visseries suivant spécification techniques en pièces jointes,https://www.tuneps.tn/portail/consultations/consultationdetails/232456/S20250505035,0
,MUNENFIDHA - Municipalité de Enfidha,S20250202829,Consultation pour l'acquisition des fournitures de bureaux,http://www.tunisurf.com/v3/?mod=6013&aoid=495288&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,CMNT-Centre de Maternité et de Néonatalogie de Tunis,S20250202881,Projet d'installation des onduleurs et d'un tableau électrique dans le service des urgences au Centre de Maternité et de Néonatologie de Tunis - CMNT,http://www.tunisurf.com/v3/?mod=6013&aoid=495450&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Hopital Régional de Jammel,S20250604878,achat lave linge,https://www.tuneps.tn/portail/consultations/consultationdetails/239657/S20250604878,0
,Centre d’Essais et des Techniques de Construction,S20250504419,Remise en état de la carrosserie des véhicules du parc auto du CETEC au titre de l’année 2025,https://www.tuneps.tn/portail/consultations/consultationdetails/231665/S20250504419,0
,Direction régionale de la santé de Siliana,S20250505064,consultation 18/2025 concernant l'acquisition des equipements pur le centre de sante de base MGUERBA,https://www.tuneps.tn/portail/consultations/consultationdetails/232489/S20250505064,0
,Ministère de la Défense Nationale,S20250505094,Equipement de gestion administrative,https://www.tuneps.tn/portail/consultations/consultationdetails/232527/S20250505094,0
,SNDP - Société Nationale de Distribution des Pétroles AGIL,S20250202776,VFJBVkFVWCBEwpJFTlRSRVRJRU4gRFUgUkVTRUFVIEFOVEktSU5DRU5ESUUgLSBSRVNFQVUgQVUgQ0VOVFJFIEVNUExJU1NFVVIgR1BMIEJJWkVSVEU=,http://www.tunisurf.com/v3/?mod=6013&aoid=495123&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,MUNMATEUR - Municipalité de Mateur,S20250202756,Travaux de maintenance du réseau d'éclairage public du centre ville de Mateur,http://www.tunisurf.com/v3/?mod=6013&aoid=495242&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,0
,Société Régionale de Transport Gouvernorat de Kairouan,20250501305,مولدة للوصلة ومحركات المصدر,https://www.tuneps.tn/portail/offres/details/88087/20250501305,0
